Age,Workclass,Education,Marital-status,Race,Gender,Occupation
44,Private,HS-grad,Divorced,White,Female,Craft-repair
53,Private,HS-grad,Divorced,White,Female,Sales
49,Local-gov,HS-grad,Married-civ-spouse,White,Male,Protective-serv
33,Private,Masters,Married-civ-spouse,White,Male,Prof-specialty
30,Private,9th,Never-married,White,Male,Sales
43,Federal-gov,Doctorate,Never-married,White,Female,Prof-specialty
57,Private,Assoc-voc,Married-civ-spouse,White,Male,Prof-specialty
37,Private,Some-college,Divorced,White,Female,Craft-repair
28,Private,Some-college,Divorced,Black,Female,Machine-op-inspct
30,Private,HS-grad,Married-civ-spouse,Asian-Pac-Islander,Female,Sales
34,Local-gov,Bachelors,Married-civ-spouse,White,Male,Protective-serv
29,Local-gov,Some-college,Never-married,White,Male,Handlers-cleaners
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,White,Male,Prof-specialty
37,Private,Some-college,Married-civ-spouse,White,Male,Sales
48,Private,Assoc-acdm,Divorced,White,Female,Exec-managerial
32,Federal-gov,HS-grad,Never-married,Black,Male,Other-service
76,Private,Masters,Married-civ-spouse,White,Male,Exec-managerial
44,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
47,Self-emp-not-inc,Masters,Never-married,White,Female,Prof-specialty
20,Private,Some-college,Never-married,White,Female,Tech-support
29,Private,HS-grad,Never-married,White,Male,Craft-repair
32,Self-emp-inc,HS-grad,Married-civ-spouse,White,Male,Craft-repair
17,?,10th,Never-married,White,Female,?
30,Private,11th,Never-married,White,Male,Handlers-cleaners
31,Local-gov,HS-grad,Never-married,White,Female,Adm-clerical
42,Private,HS-grad,Married-civ-spouse,White,Male,Handlers-cleaners
24,Private,Bachelors,Never-married,White,Male,Sales
38,Private,Prof-school,Married-civ-spouse,White,Male,Prof-specialty
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Other-service
28,Private,Some-college,Married-civ-spouse,White,Female,Sales
36,Private,HS-grad,Never-married,White,Female,Machine-op-inspct
53,Private,9th,Married-civ-spouse,White,Male,Handlers-cleaners
56,Self-emp-inc,Some-college,Married-civ-spouse,White,Male,Sales
49,Local-gov,Assoc-voc,Married-civ-spouse,Black,Male,Craft-repair
55,Private,Some-college,Married-civ-spouse,White,Male,Sales
22,Private,HS-grad,Never-married,White,Male,Craft-repair
21,Private,Some-college,Never-married,White,Female,Other-service
40,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
30,Private,Bachelors,Never-married,Black,Male,Exec-managerial
29,State-gov,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
19,Private,Some-college,Never-married,Black,Male,Other-service
47,Private,Bachelors,Married-civ-spouse,White,Female,Exec-managerial
20,Private,Some-college,Never-married,White,Female,Adm-clerical
31,Private,Assoc-acdm,Married-civ-spouse,White,Male,Adm-clerical
35,?,HS-grad,Married-civ-spouse,White,Male,?
39,Private,Some-college,Divorced,White,Male,Craft-repair
28,Private,Assoc-acdm,Never-married,White,Female,Sales
24,Private,HS-grad,Never-married,White,Female,Other-service
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Craft-repair
37,Private,Bachelors,Married-civ-spouse,White,Male,Sales
46,Private,Assoc-acdm,Divorced,Black,Female,Tech-support
38,Federal-gov,Masters,Married-civ-spouse,White,Male,Prof-specialty
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Craft-repair
27,Private,Assoc-voc,Married-civ-spouse,White,Female,Adm-clerical
20,Private,Some-college,Never-married,White,Male,Sales
49,Private,Some-college,Married-civ-spouse,Asian-Pac-Islander,Male,Craft-repair
61,Self-emp-inc,HS-grad,Married-civ-spouse,White,Male,Craft-repair
27,Private,Some-college,Never-married,White,Female,Sales
19,Private,Some-college,Never-married,White,Male,Other-service
45,Private,Assoc-voc,Never-married,White,Female,Prof-specialty
70,Private,Some-college,Never-married,White,Male,Tech-support
31,Private,HS-grad,Never-married,Black,Female,Transport-moving
22,Private,Some-college,Married-civ-spouse,White,Male,Other-service
36,Private,HS-grad,Widowed,White,Female,Other-service
64,Private,11th,Married-civ-spouse,White,Male,Craft-repair
43,?,Some-college,Divorced,White,Female,?
47,Local-gov,Some-college,Divorced,White,Female,Adm-clerical
34,Private,HS-grad,Never-married,White,Female,Adm-clerical
33,Private,Bachelors,Never-married,Asian-Pac-Islander,Female,Exec-managerial
21,Private,HS-grad,Never-married,White,Male,Craft-repair
52,?,HS-grad,Divorced,White,Male,?
48,Private,HS-grad,Married-civ-spouse,White,Male,Craft-repair
23,Private,Bachelors,Never-married,White,Male,Handlers-cleaners
71,Self-emp-not-inc,Some-college,Separated,Black,Male,Sales
29,Private,HS-grad,Divorced,White,Male,Craft-repair
42,Private,Bachelors,Separated,Black,Male,Other-service
68,?,1st-4th,Divorced,White,Female,?
25,Private,HS-grad,Never-married,White,Female,Other-service
44,Self-emp-inc,Masters,Divorced,Asian-Pac-Islander,Female,Exec-managerial
28,Private,HS-grad,Never-married,Asian-Pac-Islander,Female,Exec-managerial
45,Self-emp-not-inc,Masters,Married-civ-spouse,White,Male,Sales
36,Private,Some-college,Divorced,White,Female,Other-service
39,Federal-gov,Assoc-acdm,Never-married,White,Male,Exec-managerial
46,State-gov,Masters,Widowed,White,Male,Protective-serv
18,Private,11th,Never-married,White,Male,Handlers-cleaners
66,Local-gov,Assoc-voc,Widowed,White,Female,Prof-specialty
27,Private,HS-grad,Never-married,White,Male,Other-service
28,State-gov,HS-grad,Married-civ-spouse,White,Male,Protective-serv
51,Private,Some-college,Married-civ-spouse,White,Male,Sales
27,Private,Bachelors,Never-married,White,Male,Craft-repair
28,State-gov,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
27,Private,HS-grad,Married-spouse-absent,White,Female,Sales
21,Private,HS-grad,Never-married,Black,Male,Craft-repair
34,Private,HS-grad,Never-married,Black,Male,Handlers-cleaners
18,Private,HS-grad,Never-married,White,Male,Other-service
33,Private,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
44,Local-gov,Some-college,Married-civ-spouse,Black,Male,Exec-managerial
43,Private,Some-college,Divorced,White,Female,Adm-clerical
30,Private,Some-college,Never-married,Black,Male,Craft-repair
40,Private,7th-8th,Married-civ-spouse,White,Male,Machine-op-inspct
37,Federal-gov,Some-college,Married-civ-spouse,White,Male,Adm-clerical
34,Private,HS-grad,Married-civ-spouse,Black,Male,Adm-clerical
41,Self-emp-not-inc,Bachelors,Divorced,White,Female,Exec-managerial
53,?,Bachelors,Divorced,White,Female,?
31,Private,Masters,Married-civ-spouse,White,Female,Prof-specialty
58,State-gov,Doctorate,Married-civ-spouse,White,Male,Prof-specialty
38,Private,Some-college,Divorced,Black,Female,Machine-op-inspct
24,Private,Some-college,Married-civ-spouse,White,Male,Machine-op-inspct
41,Local-gov,Bachelors,Married-civ-spouse,Black,Male,Craft-repair
47,Private,Some-college,Married-civ-spouse,White,Male,Tech-support
41,Federal-gov,Bachelors,Married-civ-spouse,White,Male,Tech-support
23,Private,5th-6th,Married-civ-spouse,White,Male,Transport-moving
36,Private,Some-college,Divorced,White,Male,Craft-repair
40,Federal-gov,Masters,Never-married,White,Female,Exec-managerial
35,Private,Masters,Married-civ-spouse,White,Male,Prof-specialty
24,Self-emp-not-inc,HS-grad,Never-married,White,Male,Sales
26,Private,Masters,Never-married,White,Female,Prof-specialty
19,?,HS-grad,Never-married,White,Male,?
51,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
42,Local-gov,Some-college,Never-married,White,Female,Prof-specialty
37,State-gov,HS-grad,Divorced,White,Female,Adm-clerical
18,Private,11th,Never-married,White,Female,Sales
36,Private,Bachelors,Married-civ-spouse,Black,Male,Other-service
35,Private,HS-grad,Divorced,White,Male,Craft-repair
58,Self-emp-inc,HS-grad,Married-civ-spouse,White,Female,Sales
17,Private,11th,Never-married,White,Female,Sales
44,Local-gov,HS-grad,Married-civ-spouse,Black,Male,Transport-moving
37,Private,HS-grad,Married-civ-spouse,White,Male,Craft-repair
35,Private,Some-college,Never-married,Amer-Indian-Eskimo,Female,Sales
60,Private,HS-grad,Married-civ-spouse,Asian-Pac-Islander,Male,Craft-repair
54,Self-emp-inc,7th-8th,Married-civ-spouse,White,Male,Machine-op-inspct
37,Private,Bachelors,Never-married,Black,Male,Exec-managerial
50,Private,Assoc-acdm,Divorced,White,Female,Sales
38,Private,Bachelors,Married-civ-spouse,White,Male,Sales
45,Private,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
25,Private,10th,Never-married,White,Male,Craft-repair
31,Private,Some-college,Married-civ-spouse,White,Male,Handlers-cleaners
64,?,1st-4th,Divorced,White,Male,?
90,Private,HS-grad,Never-married,Black,Male,Other-service
54,Private,HS-grad,Married-civ-spouse,Black,Male,Adm-clerical
53,Local-gov,Preschool,Never-married,White,Female,Machine-op-inspct
18,Private,HS-grad,Never-married,White,Female,Sales
60,?,10th,Divorced,Amer-Indian-Eskimo,Female,?
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Farming-fishing
75,Private,Assoc-voc,Widowed,White,Female,Adm-clerical
65,Private,HS-grad,Divorced,White,Female,Adm-clerical
35,Private,11th,Separated,Black,Male,Transport-moving
41,Private,HS-grad,Divorced,Black,Female,Sales
25,Private,Some-college,Never-married,White,Male,Adm-clerical
33,Private,Some-college,Divorced,Other,Female,Craft-repair
28,Private,Prof-school,Never-married,White,Male,Prof-specialty
59,State-gov,HS-grad,Married-civ-spouse,White,Male,Other-service
40,State-gov,Some-college,Never-married,White,Female,Adm-clerical
41,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
38,Local-gov,Masters,Married-civ-spouse,White,Male,Exec-managerial
23,Private,HS-grad,Never-married,White,Male,Transport-moving
40,Private,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Female,Other-service
24,State-gov,Assoc-acdm,Married-civ-spouse,White,Male,Protective-serv
20,?,Some-college,Never-married,White,Male,?
38,Private,Some-college,Divorced,White,Male,Craft-repair
56,Private,HS-grad,Married-civ-spouse,White,Male,Adm-clerical
58,Private,HS-grad,Married-civ-spouse,White,Male,Adm-clerical
32,Private,HS-grad,Never-married,White,Female,Other-service
40,Private,Assoc-acdm,Married-civ-spouse,White,Male,Tech-support
45,Private,HS-grad,Married-civ-spouse,White,Male,Adm-clerical
41,Private,Prof-school,Married-civ-spouse,White,Female,Prof-specialty
42,Private,Bachelors,Married-civ-spouse,Black,Female,Adm-clerical
59,Local-gov,10th,Widowed,Black,Female,Other-service
19,Local-gov,Some-college,Never-married,White,Male,Adm-clerical
58,Private,Some-college,Never-married,White,Male,Transport-moving
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Asian-Pac-Islander,Male,Farming-fishing
20,Private,HS-grad,Never-married,White,Female,Other-service
32,Private,HS-grad,Separated,White,Female,Other-service
45,Private,Assoc-voc,Widowed,White,Female,Exec-managerial
50,Private,7th-8th,Divorced,White,Male,Craft-repair
36,Private,Bachelors,Divorced,White,Female,Prof-specialty
45,Private,HS-grad,Married-civ-spouse,White,Male,Sales
17,Private,11th,Never-married,White,Male,Other-service
59,Private,Some-college,Married-civ-spouse,White,Male,Sales
26,Private,11th,Married-civ-spouse,White,Male,Craft-repair
37,Self-emp-inc,Some-college,Married-civ-spouse,Asian-Pac-Islander,Male,Exec-managerial
19,?,Some-college,Never-married,White,Male,?
64,Private,HS-grad,Married-civ-spouse,White,Male,Exec-managerial
33,Private,Bachelors,Never-married,White,Female,Prof-specialty
33,Private,HS-grad,Married-civ-spouse,White,Female,Craft-repair
61,Private,HS-grad,Married-civ-spouse,White,Male,Exec-managerial
17,Private,9th,Never-married,White,Male,Other-service
50,Self-emp-not-inc,Masters,Married-civ-spouse,White,Male,Farming-fishing
27,Local-gov,Masters,Never-married,White,Male,Prof-specialty
30,Private,HS-grad,Divorced,White,Female,Prof-specialty
43,Private,HS-grad,Married-civ-spouse,Black,Male,Handlers-cleaners
44,Private,Some-college,Married-civ-spouse,White,Male,Craft-repair
35,Private,Some-college,Never-married,White,Female,Exec-managerial
25,Private,Some-college,Never-married,White,Female,Tech-support
24,Private,Some-college,Married-civ-spouse,White,Female,Machine-op-inspct
22,Private,Bachelors,Never-married,White,Female,Prof-specialty
42,Local-gov,Some-college,Married-civ-spouse,White,Male,Craft-repair
34,Private,Assoc-acdm,Divorced,Black,Female,Sales
60,Private,Bachelors,Divorced,White,Female,Prof-specialty
21,Private,HS-grad,Never-married,White,Male,Handlers-cleaners
57,Federal-gov,Masters,Married-civ-spouse,White,Male,Sales
41,Private,Prof-school,Married-civ-spouse,White,Male,Prof-specialty
50,Private,Some-college,Divorced,White,Male,Other-service
25,Private,Bachelors,Never-married,White,Female,Exec-managerial
50,Private,7th-8th,Married-civ-spouse,White,Male,Craft-repair
36,Private,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
31,Private,HS-grad,Divorced,White,Female,Prof-specialty
29,Local-gov,Bachelors,Never-married,White,Male,Protective-serv
21,Private,Some-college,Never-married,White,Male,Sales
27,Private,Bachelors,Never-married,Black,Female,Tech-support
65,Private,HS-grad,Married-civ-spouse,White,Male,Transport-moving
37,Self-emp-inc,Bachelors,Divorced,White,Female,Sales
39,?,Masters,Married-civ-spouse,Asian-Pac-Islander,Female,?
24,Private,HS-grad,Never-married,White,Male,Craft-repair
38,Private,HS-grad,Divorced,White,Male,Sales
48,Private,Bachelors,Married-civ-spouse,White,Male,Adm-clerical
21,Private,Some-college,Never-married,Asian-Pac-Islander,Female,Other-service
31,Private,HS-grad,Married-civ-spouse,White,Male,Transport-moving
55,Private,HS-grad,Married-civ-spouse,White,Male,Sales
24,Private,Some-college,Married-civ-spouse,Asian-Pac-Islander,Female,Adm-clerical
43,Private,HS-grad,Divorced,White,Female,Adm-clerical
26,Private,Assoc-acdm,Never-married,White,Male,Tech-support
46,Private,Assoc-acdm,Never-married,White,Female,Prof-specialty
35,Private,Assoc-acdm,Married-civ-spouse,White,Male,Adm-clerical
41,Self-emp-inc,Some-college,Married-civ-spouse,White,Male,Farming-fishing
26,Private,Bachelors,Never-married,White,Male,Sales
34,Private,Masters,Married-civ-spouse,Asian-Pac-Islander,Male,Exec-managerial
19,?,Some-college,Never-married,Black,Female,?
36,Self-emp-not-inc,Bachelors,Divorced,Black,Female,Prof-specialty
22,Private,Some-college,Never-married,White,Male,Sales
24,Private,Some-college,Never-married,White,Male,Machine-op-inspct
77,Self-emp-not-inc,Some-college,Married-civ-spouse,White,Male,Sales
22,Private,5th-6th,Married-civ-spouse,White,Female,Machine-op-inspct
29,Private,Some-college,Never-married,White,Female,Tech-support
62,Private,HS-grad,Widowed,White,Female,Other-service
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Exec-managerial
43,Private,Some-college,Married-civ-spouse,White,Male,Craft-repair
35,Private,HS-grad,Divorced,White,Male,Transport-moving
29,Private,11th,Never-married,White,Female,Exec-managerial
76,Self-emp-not-inc,Masters,Married-civ-spouse,White,Male,Craft-repair
63,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Farming-fishing
23,?,Assoc-voc,Never-married,Black,Female,?
43,Private,Some-college,Married-civ-spouse,White,Female,Prof-specialty
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Handlers-cleaners
66,Private,HS-grad,Never-married,White,Male,Transport-moving
41,Private,Some-college,Never-married,Black,Male,Craft-repair
26,Private,Bachelors,Never-married,White,Male,Adm-clerical
47,Private,Assoc-voc,Never-married,White,Male,Other-service
55,Local-gov,10th,Married-civ-spouse,White,Male,Adm-clerical
53,Private,HS-grad,Married-civ-spouse,White,Male,Transport-moving
17,Private,5th-6th,Never-married,White,Male,Other-service
30,Private,HS-grad,Never-married,White,Male,Craft-repair
49,Private,Masters,Never-married,White,Male,Prof-specialty
19,Private,HS-grad,Never-married,Black,Male,Sales
45,Private,HS-grad,Married-civ-spouse,Black,Male,Other-service
26,Private,Assoc-acdm,Never-married,White,Male,Sales
38,Private,Assoc-voc,Married-civ-spouse,White,Male,Craft-repair
36,State-gov,HS-grad,Married-civ-spouse,White,Male,Protective-serv
33,Private,HS-grad,Never-married,White,Male,Farming-fishing
22,State-gov,Some-college,Never-married,Black,Female,Protective-serv
43,Self-emp-not-inc,Bachelors,Never-married,White,Male,Sales
67,?,11th,Married-civ-spouse,White,Male,?
30,?,Assoc-voc,Divorced,White,Female,?
56,Private,Assoc-acdm,Married-spouse-absent,White,Male,Other-service
31,Private,Bachelors,Never-married,White,Male,Prof-specialty
33,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
26,Private,HS-grad,Married-civ-spouse,White,Male,Other-service
33,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
46,Local-gov,11th,Married-civ-spouse,White,Male,Transport-moving
59,?,Bachelors,Married-civ-spouse,White,Male,?
38,Federal-gov,HS-grad,Married-civ-spouse,White,Male,Adm-clerical
65,Private,11th,Widowed,Other,Male,Other-service
40,Private,Assoc-voc,Married-civ-spouse,White,Male,Tech-support
42,Private,HS-grad,Married-civ-spouse,White,Female,Adm-clerical
26,Self-emp-not-inc,9th,Married-civ-spouse,White,Male,Craft-repair
36,Private,10th,Married-civ-spouse,White,Female,Other-service
62,Private,Masters,Married-civ-spouse,White,Male,Prof-specialty
43,Private,Bachelors,Married-civ-spouse,White,Male,Transport-moving
43,Private,Bachelors,Divorced,White,Male,Exec-managerial
22,Private,HS-grad,Married-spouse-absent,White,Male,Sales
28,Private,HS-grad,Married-civ-spouse,White,Male,Craft-repair
56,Self-emp-not-inc,Some-college,Married-civ-spouse,White,Male,Sales
22,Private,Assoc-acdm,Never-married,White,Female,Sales
57,Private,Bachelors,Divorced,White,Female,Exec-managerial
39,Private,HS-grad,Divorced,White,Female,Sales
26,Federal-gov,Some-college,Never-married,White,Female,Adm-clerical
17,Private,11th,Never-married,White,Male,Other-service
40,State-gov,Assoc-voc,Married-civ-spouse,White,Male,Machine-op-inspct
45,Private,HS-grad,Married-civ-spouse,Black,Male,Machine-op-inspct
44,Private,HS-grad,Never-married,Black,Male,Craft-repair
20,Local-gov,Some-college,Never-married,White,Female,Adm-clerical
33,Private,HS-grad,Married-civ-spouse,White,Female,Craft-repair
23,Private,Some-college,Never-married,White,Male,Sales
46,Self-emp-not-inc,Masters,Divorced,White,Male,Exec-managerial
38,Private,HS-grad,Married-civ-spouse,White,Male,Sales
54,Private,HS-grad,Divorced,White,Male,Transport-moving
46,Private,5th-6th,Divorced,White,Female,Craft-repair
25,Private,Some-college,Married-civ-spouse,White,Male,Craft-repair
46,Private,Some-college,Divorced,White,Female,Sales
36,Local-gov,Some-college,Married-civ-spouse,White,Female,Transport-moving
23,Private,HS-grad,Never-married,White,Female,Other-service
29,Private,HS-grad,Separated,White,Male,Machine-op-inspct
44,Private,Some-college,Married-civ-spouse,White,Female,Adm-clerical
19,Private,Some-college,Never-married,White,Female,Adm-clerical
19,Private,HS-grad,Never-married,White,Female,Other-service
35,Private,HS-grad,Married-civ-spouse,White,Female,Other-service
27,Private,Bachelors,Never-married,White,Male,Craft-repair
46,Self-emp-not-inc,Assoc-acdm,Separated,White,Male,Craft-repair
34,State-gov,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
34,Private,HS-grad,Never-married,White,Female,Other-service
44,Private,Some-college,Married-civ-spouse,White,Male,Tech-support
45,Private,Some-college,Divorced,White,Female,Handlers-cleaners
20,?,HS-grad,Never-married,White,Female,?
25,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
52,Self-emp-inc,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
20,Private,Some-college,Never-married,White,Male,Handlers-cleaners
28,Private,Some-college,Never-married,White,Female,Other-service
50,State-gov,Bachelors,Married-civ-spouse,White,Male,Protective-serv
34,Private,Assoc-voc,Divorced,White,Female,Tech-support
28,Private,7th-8th,Married-civ-spouse,Other,Male,Handlers-cleaners
41,Private,Masters,Married-civ-spouse,White,Male,Exec-managerial
28,Private,HS-grad,Married-civ-spouse,White,Male,Adm-clerical
46,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Craft-repair
28,?,Some-college,Married-civ-spouse,White,Female,?
32,Private,Some-college,Married-civ-spouse,White,Male,Exec-managerial
41,Local-gov,Some-college,Divorced,Black,Female,Other-service
24,Private,HS-grad,Never-married,Black,Female,Handlers-cleaners
33,Private,Some-college,Divorced,White,Female,Exec-managerial
46,Private,Doctorate,Married-civ-spouse,White,Male,Exec-managerial
31,State-gov,Some-college,Married-civ-spouse,White,Male,Machine-op-inspct
35,Private,12th,Divorced,White,Male,Craft-repair
52,Private,1st-4th,Married-civ-spouse,White,Male,Machine-op-inspct
30,Private,11th,Never-married,White,Female,Other-service
34,Local-gov,11th,Separated,Black,Male,Machine-op-inspct
34,State-gov,HS-grad,Divorced,White,Female,Transport-moving
20,Private,Some-college,Married-civ-spouse,White,Male,Sales
17,Private,11th,Never-married,White,Male,Handlers-cleaners
32,State-gov,Bachelors,Married-civ-spouse,White,Female,Exec-managerial
29,Private,HS-grad,Divorced,White,Male,Farming-fishing
33,Private,10th,Never-married,White,Female,Craft-repair
25,Private,HS-grad,Married-civ-spouse,White,Male,Transport-moving
36,Federal-gov,Masters,Never-married,White,Male,Prof-specialty
23,Private,HS-grad,Never-married,White,Male,Handlers-cleaners
63,Self-emp-inc,HS-grad,Married-civ-spouse,White,Male,Exec-managerial
47,Local-gov,Masters,Married-civ-spouse,White,Male,Prof-specialty
80,?,HS-grad,Widowed,White,Male,?
17,?,11th,Never-married,White,Male,?
40,Self-emp-not-inc,Bachelors,Married-spouse-absent,White,Female,Prof-specialty
30,Private,Assoc-acdm,Married-civ-spouse,White,Female,Other-service
27,Private,Some-college,Never-married,Asian-Pac-Islander,Male,Craft-repair
33,Private,Masters,Married-civ-spouse,White,Male,Prof-specialty
34,Local-gov,HS-grad,Never-married,Black,Male,Farming-fishing
34,Local-gov,Some-college,Never-married,White,Female,Protective-serv
23,Private,Some-college,Married-civ-spouse,White,Male,Adm-clerical
42,Local-gov,Some-college,Married-civ-spouse,White,Female,Adm-clerical
29,Private,Bachelors,Never-married,White,Male,Prof-specialty
45,Private,HS-grad,Divorced,White,Female,Adm-clerical
44,Private,Some-college,Married-civ-spouse,White,Male,Prof-specialty
27,Private,9th,Never-married,White,Male,Craft-repair
